,serial_number,capacity_bytes,failure,smart_5_raw,smart_187_raw,smart_188_raw,smart_197_raw,smart_198_raw,smart_9_raw,smart_193_raw,smart_194_raw,smart_241_raw,smart_242_raw
8992,Z305B6LL,4.00079E+12,0,0,0,0,0,0,26764,214330,19,31016735672,1.07776E+11
3568,Z302B11W,4.00079E+12,1,0,14,0,8,8,29954,51401,23,49352018760,1.33094E+11
6856,Z305DV8M,4.00079E+12,0,0,0,0,0,0,25128,8897,28,42065084184,1.55696E+11
3577,Z3025L55,4.00079E+12,1,0,3,0,0,0,36578,55604,24,24122232293,1.98171E+11
12407,S301NKZ7,4.00079E+12,0,0,0,0,0,0,27600,15223,21,48229782696,1.15927E+11
20179,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24847,4296,29,40917784816,1.18144E+11
3021,Z304QPCJ,4.00079E+12,0,0,0,0,0,0,26621,33921,20,44800238168,1.23498E+11
3574,Z302B11W,4.00079E+12,1,0,14,0,8,8,29930,51401,24,49347259184,1.32977E+11
19033,S300YQGT,4.00079E+12,0,0,0,0,0,0,31592,44159,23,54231888712,1.12386E+11
3583,Z3025L55,4.00079E+12,1,0,3,0,0,0,36554,55604,25,24120864721,1.98139E+11
20932,S300Z477,4.00079E+12,0,0,0,0,0,0,31112,158120,21,47421473368,1.17785E+11
20218,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24823,4296,29,40913924224,1.17992E+11
16989,Z305D68M,4.00079E+12,0,0,0,0,0,0,25398,4519,27,43301921248,1.05782E+11
3574,Z302B11W,4.00079E+12,1,0,14,0,8,8,29906,51401,24,49344887272,1.32818E+11
19820,Z303YQEM,4.00079E+12,0,0,0,0,0,0,28801,119894,28,23090258823,1.79986E+11
3583,Z3025L55,4.00079E+12,1,0,3,0,0,0,36531,55604,24,24119566306,1.98105E+11
6345,Z305D2Z0,4.00079E+12,0,0,0,0,0,0,25397,5479,29,44593607608,1.26164E+11
20218,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24799,4293,29,40912189592,1.1782E+11
11921,Z305D6LH,4.00079E+12,0,0,1,0,0,0,25419,4307,23,45020428608,1.28803E+11
3580,Z302B11W,4.00079E+12,1,0,14,0,8,8,29882,51401,24,49340672464,1.32668E+11
3034,Z304JW5S,4.00079E+12,0,0,0,0,0,0,28153,5595,20,47665565008,1.51637E+11
3589,Z3025L55,4.00079E+12,1,0,3,0,0,0,36506,55604,25,24118196671,1.98072E+11
16213,Z301055F,4.00079E+12,0,0,0,0,0,0,36461,82225,28,26064769529,1.66945E+11
20257,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24775,4292,29,40910199368,1.17677E+11
4745,Z305B6RQ,4.00079E+12,0,0,0,0,0,0,26616,199136,20,30866649264,1.11746E+11
3585,Z302B11W,4.00079E+12,1,0,14,0,8,8,29858,51401,24,49338625256,1.32602E+11
13166,Z3051KLK,4.00079E+12,0,0,0,0,0,0,26621,33354,19,44805939264,1.09456E+11
3594,Z3025L55,4.00079E+12,1,0,3,0,0,0,36482,55604,23,24116809705,1.98039E+11
23236,Z305BS26,4.00079E+12,0,0,0,0,0,0,19141,157297,16,10608009154,36322507931
20296,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24751,4292,28,40908357672,1.17505E+11
16515,Z30251BX,4.00079E+12,0,0,0,0,0,0,36170,43275,30,26179727393,1.71523E+11
3585,Z302B11W,4.00079E+12,1,0,13,0,8,8,29834,51401,25,49336755912,1.32443E+11
13586,Z302STPL,4.00079E+12,0,0,0,0,0,0,28492,12876,29,50743356896,1.02406E+11
3594,Z3025L55,4.00079E+12,1,0,3,0,0,0,36458,55604,23,24115465709,1.98006E+11
1758,Z300YM87,4.00079E+12,0,0,0,0,0,0,36488,12592,21,25674591067,1.77446E+11
20297,Z305EJ7C,4.00079E+12,1,16,7,0,8,8,24727,4286,28,40905059952,1.17379E+11
18697,Z305D65Y,4.00079E+12,0,0,0,0,0,0,25131,8534,25,43511309320,1.35334E+11
3389,Z30252BT,4.00079E+12,0,0,0,0,0,0,36074,42961,24,24313111255,1.76813E+11
22668,Z305D5BZ,4.00079E+12,0,0,0,0,0,0,25347,3866,25,44131464632,1.29834E+11
9960,Z304KDHK,4.00079E+12,0,0,0,0,0,0,28040,6339,22,51298949416,1.10194E+11
8903,S300XBCJ,4.00079E+12,0,0,0,0,0,0,30077,126583,22,44461703544,1.26455E+11
3995,Z3040Q3F,4.00079E+12,1,0,0,0,0,0,28659,179158,27,24045679783,2.26849E+11
7539,Z303Y36D,4.00079E+12,1,0,0,1,0,0,28658,184689,27,23346568889,2.27589E+11
8509,Z303PTMM,4.00079E+12,1,0,0,0,0,0,23364,2125,28,34670066320,1.31287E+11
14431,Z305833E,4.00079E+12,1,16,22,0,120,120,25688,8802,20,45398225176,1.08398E+11
3996,Z3040Q3F,4.00079E+12,1,0,0,0,0,0,28635,179158,27,24043811429,2.26816E+11
6147,Z3059C7A,4.00079E+12,0,0,0,0,0,0,25687,10183,26,46386781664,96909221499
7537,Z303Y36D,4.00079E+12,1,0,0,1,0,0,28635,184689,27,23344850847,2.27561E+11
2236,Z305DHV2,4.00079E+12,0,0,0,0,0,0,25307,5072,23,44750386680,1.08274E+11
8505,Z303PTMM,4.00079E+12,1,0,0,0,0,0,23340,2125,28,34667960520,1.31129E+11
12368,Z305GVXN,4.00079E+12,0,0,0,0,0,0,24726,53748,22,37590608448,1.06494E+11
14441,Z305833E,4.00079E+12,1,16,22,0,120,120,25664,8802,20,45382414576,1.08284E+11
6565,Z302SW0B,4.00079E+12,0,0,0,0,0,0,29123,20361,18,52526964952,1.09659E+11
4002,Z3040Q3F,4.00079E+12,1,0,0,0,0,0,28610,179158,27,24041757384,2.26783E+11
7729,Z305L4SN,4.00079E+12,0,0,0,0,0,0,24221,4795,23,40112952408,1.26355E+11
7550,Z303Y36D,4.00079E+12,1,0,0,1,0,0,28610,184689,27,23343040884,2.27532E+11
16327,S301GPDS,4.00079E+12,0,0,0,0,0,0,28425,11784,32,49542423960,99625611726
8518,Z303PTMM,4.00079E+12,1,0,0,0,0,0,23316,2125,28,34662074328,1.30993E+11
6111,Z305M8J9,4.00079E+12,0,0,0,0,0,0,24189,3532,25,40951120024,1.0149E+11
14468,Z305833E,4.00079E+12,1,16,15,0,56,56,25641,8802,19,45368465768,1.08166E+11
20949,S3010T39,4.00079E+12,0,0,0,0,0,0,32193,33201,20,56397312960,1.28909E+11
4002,Z3040Q3F,4.00079E+12,1,0,0,0,0,0,28586,179158,26,24039892253,2.26752E+11
11792,Z304KCCD,4.00079E+12,0,0,0,0,0,0,27245,105178,26,15697137921,83811989713
7550,Z303Y36D,4.00079E+12,1,0,0,1,0,0,28586,184689,26,23341079221,2.27501E+11
19862,S300YQL5,4.00079E+12,0,0,0,0,0,0,31203,141637,19,47056032696,1.27734E+11
8518,Z303PTMM,4.00079E+12,1,0,0,0,0,0,23292,2125,28,34659362888,1.30809E+11
7612,S300Z5LH,4.00079E+12,0,0,0,0,0,0,30397,28599,18,56473517512,1.58371E+11
14468,Z305833E,4.00079E+12,1,16,15,0,56,56,25616,8802,20,45354857640,1.08053E+11
17879,Z304KBX8,4.00079E+12,0,0,0,0,0,0,27057,6635,22,44550813336,1.284E+11
4009,Z3040Q3F,4.00079E+12,1,0,0,0,0,0,28563,179158,26,24038054708,2.26723E+11
100,Z305D2NS,4.00079E+12,0,0,0,0,0,0,19854,70691,22,12149534787,55596851749
7560,Z303Y36D,4.00079E+12,1,0,0,1,0,0,28563,184689,27,23339260097,2.2747E+11
21843,Z304JP8C,4.00079E+12,0,0,0,0,0,0,28103,6007,22,47806273360,1.24147E+11
8529,Z303PTMM,4.00079E+12,1,0,0,0,0,0,23268,2125,28,34657354568,1.30642E+11
